equipamento_id,timestamp,hora,minuto,dia_semana,mes,operando,consumo_kwh,solar_kwh,irradiancia_wm2,tarifa_rs_kwh,temperatura_c,cobertura_solar_pct,classe_risco,score_risco,custo_rs
2,2024-05-01 01:45:00,1,45,2,5,0,0.1833,0.0,0.0,0.52,20.9,0.0,1,55,0.0953
3,2024-05-01 01:45:00,1,45,2,5,1,11.1648,0.0,0.0,0.52,20.9,0.0,1,54,5.8057
4,2024-05-01 01:45:00,1,45,2,5,0,0.1287,0.0,0.0,0.52,20.9,0.0,1,55,0.0669
5,2024-05-01 01:45:00,1,45,2,5,0,0.112,0.0,0.0,0.52,20.9,0.0,1,58,0.0582
6,2024-05-01 01:45:00,1,45,2,5,0,0.1007,0.0,0.0,0.52,20.9,0.0,1,57,0.0524
7,2024-05-01 01:45:00,1,45,2,5,0,0.0614,0.0,0.0,0.52,20.9,0.0,1,59,0.0319
8,2024-05-01 01:45:00,1,45,2,5,0,0.079,0.0,0.0,0.52,20.9,0.0,1,50,0.0411
1,2024-05-01 02:00:00,2,0,2,5,0,0.319,0.0,0.0,0.52,24.2,0.0,1,55,0.1659
2,2024-05-01 02:00:00,2,0,2,5,0,0.2089,0.0,0.0,0.52,24.2,0.0,1,60,0.1086
3,2024-05-01 02:00:00,2,0,2,5,0,0.1361,0.0,0.0,0.52,24.2,0.0,1,57,0.0708
4,2024-05-01 02:00:00,2,0,2,5,1,7.1145,0.0,0.0,0.52,24.2,0.0,1,55,3.6995
5,2024-05-01 02:00:00,2,0,2,5,0,0.119,0.0,0.0,0.52,24.2,0.0,1,56,0.0619
6,2024-05-01 02:00:00,2,0,2,5,0,0.1074,0.0,0.0,0.52,24.2,0.0,1,52,0.0558
7,2024-05-01 02:00:00,2,0,2,5,0,0.0661,0.0,0.0,0.52,24.2,0.0,1,53,0.0344
8,2024-05-01 02:00:00,2,0,2,5,0,0.0634,0.0,0.0,0.52,24.2,0.0,1,52,0.033
1,2024-05-01 02:15:00,2,15,2,5,0,0.3169,0.0,0.0,0.52,26.7,0.0,1,51,0.1648
2,2024-05-01 02:15:00,2,15,2,5,0,0.23,0.0,0.0,0.52,26.7,0.0,1,50,0.1196
3,2024-05-01 02:15:00,2,15,2,5,0,0.1413,0.0,0.0,0.52,26.7,0.0,1,55,0.0735
4,2024-05-01 02:15:00,2,15,2,5,0,0.1738,0.0,0.0,0.52,26.7,0.0,1,55,0.0904
5,2024-05-01 02:15:00,2,15,2,5,0,0.1053,0.0,0.0,0.52,26.7,0.0,1,57,0.0548
6,2024-05-01 02:15:00,2,15,2,5,0,0.1057,0.0,0.0,0.52,26.7,0.0,1,56,0.055
7,2024-05-01 02:15:00,2,15,2,5,0,0.065,0.0,0.0,0.52,26.7,0.0,1,55,0.0338
8,2024-05-01 02:15:00,2,15,2,5,1,4.3162,0.0,0.0,0.52,26.7,0.0,1,58,2.2444
1,2024-05-01 02:30:00,2,30,2,5,0,0.226,0.0,0.0,0.52,25.8,0.0,1,57,0.1175
2,2024-05-01 02:30:00,2,30,2,5,0,0.1891,0.0,0.0,0.52,25.8,0.0,1,55,0.0983
3,2024-05-01 02:30:00,2,30,2,5,0,0.1817,0.0,0.0,0.52,25.8,0.0,1,51,0.0945
4,2024-05-01 02:30:00,2,30,2,5,0,0.1591,0.0,0.0,0.52,25.8,0.0,1,57,0.0827
5,2024-05-01 02:30:00,2,30,2,5,0,0.1007,0.0,0.0,0.52,25.8,0.0,1,52,0.0524
6,2024-05-01 02:30:00,2,30,2,5,0,0.1046,0.0,0.0,0.52,25.8,0.0,1,57,0.0544
7,2024-05-01 02:30:00,2,30,2,5,0,0.0641,0.0,0.0,0.52,25.8,0.0,1,58,0.0333
8,2024-05-01 02:30:00,2,30,2,5,1,4.3877,0.0,0.0,0.52,25.8,0.0,1,60,2.2816
1,2024-05-01 02:45:00,2,45,2,5,0,0.2548,0.0,0.0,0.52,25.1,0.0,1,52,0.1325
2,2024-05-01 02:45:00,2,45,2,5,1,13.5694,0.0,0.0,0.52,25.1,0.0,1,54,7.0561
3,2024-05-01 02:45:00,2,45,2,5,1,9.2352,0.0,0.0,0.52,25.1,0.0,1,59,4.8023
4,2024-05-01 02:45:00,2,45,2,5,0,0.1546,0.0,0.0,0.52,25.1,0.0,1,50,0.0804
5,2024-05-01 02:45:00,2,45,2,5,0,0.1225,0.0,0.0,0.52,25.1,0.0,1,54,0.0637
6,2024-05-01 02:45:00,2,45,2,5,0,0.1026,0.0,0.0,0.52,25.1,0.0,1,55,0.0534
7,2024-05-01 02:45:00,2,45,2,5,1,3.039,0.0,0.0,0.52,25.1,0.0,1,54,1.5803
8,2024-05-01 02:45:00,2,45,2,5,1,4.3591,0.0,0.0,0.52,25.1,0.0,1,53,2.2667
1,2024-05-01 03:00:00,3,0,2,5,0,0.2683,0.0,0.0,0.52,28.2,0.0,1,53,0.1395
2,2024-05-01 03:00:00,3,0,2,5,0,0.1953,0.0,0.0,0.52,28.2,0.0,1,57,0.1016
3,2024-05-01 03:00:00,3,0,2,5,0,0.1726,0.0,0.0,0.52,28.2,0.0,1,55,0.0898
4,2024-05-01 03:00:00,3,0,2,5,0,0.1542,0.0,0.0,0.52,28.2,0.0,1,56,0.0802
5,2024-05-01 03:00:00,3,0,2,5,1,6.2713,0.0,0.0,0.52,28.2,0.0,1,52,3.2611
6,2024-05-01 03:00:00,3,0,2,5,0,0.1346,0.0,0.0,0.52,28.2,0.0,1,55,0.07
7,2024-05-01 03:00:00,3,0,2,5,0,0.0647,0.0,0.0,0.52,28.2,0.0,1,51,0.0336
8,2024-05-01 03:00:00,3,0,2,5,1,4.4054,0.0,0.0,0.52,28.2,0.0,1,58,2.2908
1,2024-05-01 03:15:00,3,15,2,5,0,0.258,0.0,0.0,0.52,25.5,0.0,1,59,0.1342
2,2024-05-01 03:15:00,3,15,2,5,0,0.2528,0.0,0.0,0.52,25.5,0.0,1,55,0.1315
3,2024-05-01 03:15:00,3,15,2,5,1,9.4276,0.0,0.0,0.52,25.5,0.0,1,55,4.9024
4,2024-05-01 03:15:00,3,15,2,5,0,0.1501,0.0,0.0,0.52,25.5,0.0,1,57,0.0781
5,2024-05-01 03:15:00,3,15,2,5,0,0.1259,0.0,0.0,0.52,25.5,0.0,1,58,0.0655
6,2024-05-01 03:15:00,3,15,2,5,0,0.1258,0.0,0.0,0.52,25.5,0.0,1,57,0.0654
7,2024-05-01 03:15:00,3,15,2,5,0,0.065,0.0,0.0,0.52,25.5,0.0,1,51,0.0338
8,2024-05-01 03:15:00,3,15,2,5,1,3.5747,0.0,0.0,0.52,25.5,0.0,1,55,1.8588
1,2024-05-01 03:30:00,3,30,2,5,0,0.229,0.0,0.0,0.52,25.7,0.0,1,61,0.1191
2,2024-05-01 03:30:00,3,30,2,5,0,0.2058,0.0,0.0,0.52,25.7,0.0,1,49,0.107
3,2024-05-01 03:30:00,3,30,2,5,0,0.1749,0.0,0.0,0.52,25.7,0.0,1,53,0.0909
4,2024-05-01 03:30:00,3,30,2,5,0,0.1276,0.0,0.0,0.52,25.7,0.0,1,58,0.0664
5,2024-05-01 03:30:00,3,30,2,5,0,0.1135,0.0,0.0,0.52,25.7,0.0,1,52,0.059
6,2024-05-01 03:30:00,3,30,2,5,0,0.118,0.0,0.0,0.52,25.7,0.0,1,57,0.0614
7,2024-05-01 03:30:00,3,30,2,5,0,0.0469,0.0,0.0,0.52,25.7,0.0,1,55,0.0244
8,2024-05-01 03:30:00,3,30,2,5,1,3.8719,0.0,0.0,0.52,25.7,0.0,1,61,2.0134
1,2024-05-01 03:45:00,3,45,2,5,0,0.3067,0.0,0.0,0.52,27.9,0.0,1,55,0.1595
2,2024-05-01 03:45:00,3,45,2,5,0,0.2091,0.0,0.0,0.52,27.9,0.0,1,56,0.1087
3,2024-05-01 03:45:00,3,45,2,5,0,0.1887,0.0,0.0,0.52,27.9,0.0,1,53,0.0981
4,2024-05-01 03:45:00,3,45,2,5,0,0.1247,0.0,0.0,0.52,27.9,0.0,1,49,0.0648
5,2024-05-01 03:45:00,3,45,2,5,1,6.4151,0.0,0.0,0.52,27.9,0.0,1,57,3.3359
6,2024-05-01 03:45:00,3,45,2,5,0,0.1084,0.0,0.0,0.52,27.9,0.0,1,53,0.0564
7,2024-05-01 03:45:00,3,45,2,5,1,2.9916,0.0,0.0,0.52,27.9,0.0,1,55,1.5556
8,2024-05-01 03:45:00,3,45,2,5,0,0.0814,0.0,0.0,0.52,27.9,0.0,1,50,0.0423
1,2024-05-01 04:00:00,4,0,2,5,0,0.3324,0.0,0.0,0.52,26.4,0.0,1,57,0.1728
2,2024-05-01 04:00:00,4,0,2,5,0,0.2464,0.0,0.0,0.52,26.4,0.0,1,61,0.1281
3,2024-05-01 04:00:00,4,0,2,5,0,0.1633,0.0,0.0,0.52,26.4,0.0,1,58,0.0849
4,2024-05-01 04:00:00,4,0,2,5,1,7.6885,0.0,0.0,0.52,26.4,0.0,1,51,3.998
5,2024-05-01 04:00:00,4,0,2,5,0,0.1241,0.0,0.0,0.52,26.4,0.0,1,56,0.0645
6,2024-05-01 04:00:00,4,0,2,5,0,0.1113,0.0,0.0,0.52,26.4,0.0,1,57,0.0579
7,2024-05-01 04:00:00,4,0,2,5,1,3.0699,0.0,0.0,0.52,26.4,0.0,1,52,1.5963
8,2024-05-01 04:00:00,4,0,2,5,1,3.6468,0.0,0.0,0.52,26.4,0.0,1,54,1.8963
1,2024-05-01 04:15:00,4,15,2,5,0,0.2943,0.0,0.0,0.52,25.3,0.0,1,51,0.153
2,2024-05-01 04:15:00,4,15,2,5,0,0.2372,0.0,0.0,0.52,25.3,0.0,1,54,0.1233
3,2024-05-01 04:15:00,4,15,2,5,0,0.1772,0.0,0.0,0.52,25.3,0.0,1,53,0.0921
4,2024-05-01 04:15:00,4,15,2,5,1,9.0142,0.0,0.0,0.52,25.3,0.0,1,55,4.6874
5,2024-05-01 04:15:00,4,15,2,5,0,0.1196,0.0,0.0,0.52,25.3,0.0,1,54,0.0622
6,2024-05-01 04:15:00,4,15,2,5,0,0.1164,0.0,0.0,0.52,25.3,0.0,1,55,0.0605
7,2024-05-01 04:15:00,4,15,2,5,0,0.0662,0.0,0.0,0.52,25.3,0.0,1,49,0.0344
8,2024-05-01 04:15:00,4,15,2,5,0,0.0793,0.0,0.0,0.52,25.3,0.0,1,58,0.0412
1,2024-05-01 04:30:00,4,30,2,5,0,0.3309,0.0,0.0,0.52,31.5,0.0,1,49,0.1721
2,2024-05-01 04:30:00,4,30,2,5,0,0.2147,0.0,0.0,0.52,31.5,0.0,1,55,0.1116
3,2024-05-01 04:30:00,4,30,2,5,0,0.1398,0.0,0.0,0.52,31.5,0.0,1,53,0.0727
4,2024-05-01 04:30:00,4,30,2,5,0,0.1391,0.0,0.0,0.52,31.5,0.0,1,53,0.0723
5,2024-05-01 04:30:00,4,30,2,5,0,0.0953,0.0,0.0,0.52,31.5,0.0,1,57,0.0496
6,2024-05-01 04:30:00,4,30,2,5,0,0.1214,0.0,0.0,0.52,31.5,0.0,1,57,0.0631
7,2024-05-01 04:30:00,4,30,2,5,0,0.0615,0.0,0.0,0.52,31.5,0.0,1,55,0.032
8,2024-05-01 04:30:00,4,30,2,5,0,0.0841,0.0,0.0,0.52,31.5,0.0,1,52,0.0437
1,2024-05-01 04:45:00,4,45,2,5,0,0.3094,0.0,0.0,0.52,27.4,0.0,1,49,0.1609
2,2024-05-01 04:45:00,4,45,2,5,0,0.2499,0.0,0.0,0.52,27.4,0.0,1,51,0.1299
3,2024-05-01 04:45:00,4,45,2,5,1,9.6558,0.0,0.0,0.52,27.4,0.0,1,54,5.021
4,2024-05-01 04:45:00,4,45,2,5,0,0.1715,0.0,0.0,0.52,27.4,0.0,1,59,0.0892
5,2024-05-01 04:45:00,4,45,2,5,0,0.124,0.0,0.0,0.52,27.4,0.0,1,53,0.0645
6,2024-05-01 04:45:00,4,45,2,5,0,0.0946,0.0,0.0,0.52,27.4,0.0,1,55,0.0492
7,2024-05-01 04:45:00,4,45,2,5,0,0.0636,0.0,0.0,0.52,27.4,0.0,1,57,0.0331
8,2024-05-01 04:45:00,4,45,2,5,1,4.3387,0.0,0.0,0.52,27.4,0.0,1,54,2.2561
1,2024-05-01 05:00:00,5,0,2,5,0,0.3319,0.0,0.0,0.52,29.7,0.0,1,54,0.1726
2,2024-05-01 05:00:00,5,0,2,5,0,0.2316,0.0,0.0,0.52,29.7,0.0,1,52,0.1204
3,2024-05-01 05:00:00,5,0,2,5,0,0.1548,0.0,0.0,0.52,29.7,0.0,1,61,0.0805
4,2024-05-01 05:00:00,5,0,2,5,0,0.1397,0.0,0.0,0.52,29.7,0.0,1,58,0.0726
5,2024-05-01 05:00:00,5,0,2,5,0,0.1256,0.0,0.0,0.52,29.7,0.0,1,57,0.0653
6,2024-05-01 05:00:00,5,0,2,5,0,0.1255,0.0,0.0,0.52,29.7,0.0,1,54,0.0653
7,2024-05-01 05:00:00,5,0,2,5,1,2.8395,0.0,0.0,0.52,29.7,0.0,1,55,1.4765
8,2024-05-01 05:00:00,5,0,2,5,0,0.0732,0.0,0.0,0.52,29.7,0.0,1,52,0.0381
1,2024-05-01 05:15:00,5,15,2,5,0,0.2382,0.0,0.0,0.52,28.7,0.0,1,57,0.1239
2,2024-05-01 05:15:00,5,15,2,5,0,0.1929,0.0,0.0,0.52,28.7,0.0,1,56,0.1003
3,2024-05-01 05:15:00,5,15,2,5,0,0.1418,0.0,0.0,0.52,28.7,0.0,1,59,0.0737
4,2024-05-01 05:15:00,5,15,2,5,0,0.125,0.0,0.0,0.52,28.7,0.0,1,53,0.065
5,2024-05-01 05:15:00,5,15,2,5,0,0.127,0.0,0.0,0.52,28.7,0.0,1,55,0.066
6,2024-05-01 05:15:00,5,15,2,5,0,0.1218,0.0,0.0,0.52,28.7,0.0,1,58,0.0633
7,2024-05-01 05:15:00,5,15,2,5,1,2.9497,0.0,0.0,0.52,28.7,0.0,1,53,1.5338
8,2024-05-01 05:15:00,5,15,2,5,1,4.576,0.0,0.0,0.52,28.7,0.0,1,48,2.3795
1,2024-05-01 05:30:00,5,30,2,5,0,0.327,0.0,0.0,0.52,31.6,0.0,1,54,0.17
2,2024-05-01 05:30:00,5,30,2,5,0,0.181,0.0,0.0,0.52,31.6,0.0,1,51,0.0941
3,2024-05-01 05:30:00,5,30,2,5,0,0.1666,0.0,0.0,0.52,31.6,0.0,1,55,0.0866
4,2024-05-01 05:30:00,5,30,2,5,0,0.1648,0.0,0.0,0.52,31.6,0.0,1,52,0.0857
5,2024-05-01 05:30:00,5,30,2,5,0,0.1163,0.0,0.0,0.52,31.6,0.0,1,54,0.0605
6,2024-05-01 05:30:00,5,30,2,5,0,0.1029,0.0,0.0,0.52,31.6,0.0,1,56,0.0535
7,2024-05-01 05:30:00,5,30,2,5,0,0.0645,0.0,0.0,0.52,31.6,0.0,1,55,0.0335
8,2024-05-01 05:30:00,5,30,2,5,1,4.1044,0.0,0.0,0.52,31.6,0.0,1,55,2.1343
1,2024-05-01 05:45:00,5,45,2,5,0,0.334,0.0,0.0,0.52,28.0,0.0,1,61,0.1737
2,2024-05-01 05:45:00,5,45,2,5,0,0.2426,0.0,0.0,0.52,28.0,0.0,1,56,0.1262
3,2024-05-01 05:45:00,5,45,2,5,0,0.1657,0.0,0.0,0.52,28.0,0.0,1,58,0.0862
4,2024-05-01 05:45:00,5,45,2,5,0,0.1741,0.0,0.0,0.52,28.0,0.0,1,60,0.0905
5,2024-05-01 05:45:00,5,45,2,5,0,0.092,0.0,0.0,0.52,28.0,0.0,1,54,0.0478
6,2024-05-01 05:45:00,5,45,2,5,0,0.1179,0.0,0.0,0.52,28.0,0.0,1,57,0.0613
7,2024-05-01 05:45:00,5,45,2,5,1,2.8546,0.0,0.0,0.52,28.0,0.0,1,53,1.4844
8,2024-05-01 05:45:00,5,45,2,5,1,3.3566,0.0,0.0,0.52,28.0,0.0,1,53,1.7454
1,2024-05-01 06:00:00,6,0,2,5,0,0.3346,0.0,0.0,0.74,30.0,0.0,1,54,0.2476
2,2024-05-01 06:00:00,6,0,2,5,0,0.2532,0.0,0.0,0.74,30.0,0.0,1,60,0.1874
3,2024-05-01 06:00:00,6,0,2,5,0,0.1812,0.0,0.0,0.74,30.0,0.0,1,62,0.1341
4,2024-05-01 06:00:00,6,0,2,5,0,0.1451,0.0,0.0,0.74,30.0,0.0,1,64,0.1074
5,2024-05-01 06:00:00,6,0,2,5,1,6.7692,0.0,0.0,0.74,30.0,0.0,1,58,5.0092
6,2024-05-01 06:00:00,6,0,2,5,1,5.2506,0.0,0.0,0.74,30.0,0.0,1,63,3.8854
7,2024-05-01 06:00:00,6,0,2,5,0,0.0668,0.0,0.0,0.74,30.0,0.0,1,60,0.0494
8,2024-05-01 06:00:00,6,0,2,5,0,0.0741,0.0,0.0,0.74,30.0,0.0,1,60,0.0548
1,2024-05-01 06:15:00,6,15,2,5,0,0.2313,0.0,0.0,0.74,28.9,0.0,1,60,0.1712
2,2024-05-01 06:15:00,6,15,2,5,0,0.27,0.0,0.0,0.74,28.9,0.0,1,60,0.1998
3,2024-05-01 06:15:00,6,15,2,5,0,0.2023,0.0,0.0,0.74,28.9,0.0,1,64,0.1497
4,2024-05-01 06:15:00,6,15,2,5,1,8.4187,0.0,0.0,0.74,28.9,0.0,1,58,6.2298
5,2024-05-01 06:15:00,6,15,2,5,1,5.3105,0.0,0.0,0.74,28.9,0.0,1,55,3.9298
6,2024-05-01 06:15:00,6,15,2,5,1,6.4311,0.0,0.0,0.74,28.9,0.0,1,63,4.759
7,2024-05-01 06:15:00,6,15,2,5,1,3.4796,0.0,0.0,0.74,28.9,0.0,1,57,2.5749
8,2024-05-01 06:15:00,6,15,2,5,1,3.9936,0.0,0.0,0.74,28.9,0.0,1,60,2.9553
1,2024-05-01 06:30:00,6,30,2,5,0,0.3209,0.0,0.0,0.74,30.0,0.0,1,64,0.2375
2,2024-05-01 06:30:00,6,30,2,5,0,0.2297,0.0,0.0,0.74,30.0,0.0,1,62,0.17
3,2024-05-01 06:30:00,6,30,2,5,0,0.1622,0.0,0.0,0.74,30.0,0.0,1,60,0.12
4,2024-05-01 06:30:00,6,30,2,5,0,0.128,0.0,0.0,0.74,30.0,0.0,1,64,0.0947
5,2024-05-01 06:30:00,6,30,2,5,1,6.6109,0.0,0.0,0.74,30.0,0.0,1,58,4.8921
6,2024-05-01 06:30:00,6,30,2,5,1,5.9703,0.0,0.0,0.74,30.0,0.0,1,54,4.418
7,2024-05-01 06:30:00,6,30,2,5,0,0.0548,0.0,0.0,0.74,30.0,0.0,1,64,0.0406
8,2024-05-01 06:30:00,6,30,2,5,0,0.0871,0.0,0.0,0.74,30.0,0.0,1,60,0.0645
1,2024-05-01 06:45:00,6,45,2,5,0,0.295,0.0,0.0,0.74,29.1,0.0,1,63,0.2183
2,2024-05-01 06:45:00,6,45,2,5,0,0.2576,0.0,0.0,0.74,29.1,0.0,1,59,0.1906
3,2024-05-01 06:45:00,6,45,2,5,1,9.8522,0.0,0.0,0.74,29.1,0.0,1,59,7.2906
4,2024-05-01 06:45:00,6,45,2,5,0,0.1788,0.0,0.0,0.74,29.1,0.0,1,54,0.1323
5,2024-05-01 06:45:00,6,45,2,5,0,0.1122,0.0,0.0,0.74,29.1,0.0,1,63,0.083
6,2024-05-01 06:45:00,6,45,2,5,1,5.3934,0.0,0.0,0.74,29.1,0.0,1,59,3.9911
7,2024-05-01 06:45:00,6,45,2,5,1,3.0552,0.0,0.0,0.74,29.1,0.0,1,56,2.2608
8,2024-05-01 06:45:00,6,45,2,5,0,0.0704,0.0,0.0,0.74,29.1,0.0,1,61,0.0521
1,2024-05-01 07:00:00,7,0,2,5,0,0.3001,1.1203,127.67,0.74,31.4,100.0,1,48,0.2221
2,2024-05-01 07:00:00,7,0,2,5,0,0.1837,1.1203,127.67,0.74,31.4,100.0,1,48,0.1359
3,2024-05-01 07:00:00,7,0,2,5,0,0.1464,1.1203,127.67,0.74,31.4,100.0,1,47,0.1083
4,2024-05-01 07:00:00,7,0,2,5,0,0.1253,1.1203,127.67,0.74,31.4,100.0,1,48,0.0927
5,2024-05-01 07:00:00,7,0,2,5,1,6.0938,1.1203,127.67,0.74,31.4,18.4,1,54,4.5094
6,2024-05-01 07:00:00,7,0,2,5,0,0.0993,1.1203,127.67,0.74,31.4,100.0,1,50,0.0735
7,2024-05-01 07:00:00,7,0,2,5,1,2.4758,1.1203,127.67,0.74,31.4,45.3,1,55,1.8321
8,2024-05-01 07:00:00,7,0,2,5,1,4.1147,1.1203,127.67,0.74,31.4,27.2,1,58,3.0449
1,2024-05-01 07:15:00,7,15,2,5,0,0.3092,1.2345,140.68,0.74,31.3,100.0,1,48,0.2288
2,2024-05-01 07:15:00,7,15,2,5,0,0.1966,1.2345,140.68,0.74,31.3,100.0,1,48,0.1455
